word,emotion,score
but,anger,0.0016285580675975513
butchery,anger,0.00023383604733795508
button,anger,5.941714398555722e-05
buy,anger,4.549955339318242e-06
by,anger,0.0008605934855164351
caffeine,anger,6.997373197450914e-05
caleb,anger,0.00015701920457779963
call,anger,7.725206554776585e-05
caller,anger,4.3703740463447574e-05
callous,anger,2.2126420293188637e-05
calm,anger,0.00017284957079640532
calmly,anger,2.7441859926885234e-05
cammie,anger,4.27586040387215e-05
campaign,anger,1.1054911090553993e-05
can,anger,0.0005592049388201897
cancel,anger,0.0003424147145748898
cancer,anger,1.5823019814732636e-05
cant,anger,0.00024800143077737327
car,anger,1.0290776702556027e-05
card,anger,8.083043336844177e-05
care,anger,8.440814650097338e-05
careeeee,anger,2.178982896329324e-05
carefree,anger,1.0304341463033852e-05
carin,anger,6.059457769497204e-05
caring,anger,1.1087217503682878e-05
carniola,anger,2.21730636749836e-05
carnivore,anger,2.620067291462673e-05
carter,anger,1.6308000741155452e-05
cascade,anger,6.047451508455047e-05
cash,anger,2.0988554323420705e-05
cast,anger,3.950572208958792e-06
casually,anger,2.735308341541358e-06
cat,anger,3.714022918856205e-05
catch,anger,2.930717923591072e-05
cause,anger,9.49088774034164e-05
cc,anger,5.462597684883604e-06
celebrated,anger,5.521515752579486e-06
center,anger,1.2406540202413473e-05
certain,anger,6.938633501084098e-05
chain,anger,0.00010702486757776802
chalk,anger,4.433375115572132e-05
challenge,anger,3.937518913011749e-05
chamber,anger,2.889845152195081e-05
change,anger,0.00012191675075624626
channel,anger,4.8448720630167915e-06
chaos,anger,4.2282437979044016e-05
character,anger,4.152952103158864e-06
chase,anger,5.49905354798362e-06
chatter,anger,2.8861930270319477e-05
check,anger,4.220081363657782e-06
cheese,anger,5.44872301766619e-06
chemo,anger,3.052668090366927e-05
chendol,anger,2.0674720303968553e-05
chicken,anger,1.6556637206600197e-05
child,anger,0.00035282318521012127
childish,anger,1.0226125646183873e-05
china,anger,5.912540061665241e-06
chink,anger,2.7095625687945083e-05
choice,anger,2.028532864452482e-05
choir,anger,2.0048327491107344e-05
choose,anger,4.233260192512344e-06
chosen,anger,6.442052675785744e-05
christian,anger,1.0985127710679577e-05
chunk,anger,1.4173174585569739e-05
church,anger,3.354759143570655e-05
cigarette,anger,2.109651112722649e-05
circumstance,anger,4.5059612013957676e-06
class,anger,3.44012855951344e-05
classroom,anger,2.6852596092370532e-05
classy,anger,5.24041707693769e-06
claustrophobic,anger,1.0505078560571673e-05
clean,anger,3.7186138087077735e-06
cleaning,anger,2.7282636637054266e-06
clear,anger,2.9532882188547105e-05
clearly,anger,5.091041510026394e-06
climb,anger,2.8940454782334185e-05
clint,anger,1.708350867901015e-05
clip,anger,2.192250270461844e-05
clique,anger,9.898341954258686e-06
close,anger,0.00010539980778605361
closure,anger,1.3759280447338574e-06
clothes,anger,3.298109421960819e-05
cloudy,anger,1.706295499267917e-05
club,anger,8.982089223258847e-06
cluster,anger,1.7110671765969688e-05
co,anger,2.2544998233019275e-05
coat,anger,4.488133139506517e-06
coffee,anger,2.5618058646287074e-05
coke,anger,1.0969141622225416e-05
cold,anger,0.017510389890763606
college,anger,3.835922572786859e-05
colon,anger,3.720035333025359e-05
colour,anger,6.742397935976402e-06
combine,anger,3.103444956402175e-05
come,anger,0.00014185094397303096
comeback,anger,8.991680687295569e-06
comfort,anger,4.110359333742234e-06
comfortable,anger,1.5193872989148518e-05
commit,anger,1.3557441819305625e-06
communicate,anger,1.8503213325008093e-06
community,anger,2.6580271381220274e-05
comp,anger,7.2749203078052705e-06
company,anger,5.1111804198121814e-06
compassionate,anger,9.026958952941397e-06
compensate,anger,1.6244833643126602e-05
compere,anger,0.00016357103303826784
compete,anger,2.6430499823486168e-05
complacent,anger,3.889950707085637e-05
complain,anger,3.926765795469236e-05
complete,anger,7.372632201208394e-06
completely,anger,7.065924856357631e-05
complex,anger,1.6644956174336505e-05
compliment,anger,5.708537492066032e-08
concern,anger,8.671139863685672e-05
concidence,anger,0.0004453213953681195
condemn,anger,2.2045809266103176e-05
condescend,anger,2.1894455604915327e-05
conducive,anger,1.6424795162418505e-05
confidence,anger,4.175160914164581e-07
confident,anger,5.468653971970426e-06
conflict,anger,4.146178883632263e-05
confrontation,anger,0.00015402899076063164
confuse,anger,0.0002445949958869938
confused,anger,6.757146039979086e-06
congestion,anger,4.497002764923398e-06
conscious,anger,7.804514768388658e-06
consequence,anger,3.005007212978274e-05
considerate,anger,0.0001344446538367445
consideration,anger,0.0005577840058670014
consistently,anger,5.1865980310418215e-05
conspire,anger,1.899952289502411e-05
constant,anger,6.471188959431625e-06
constantly,anger,3.592250324590918e-05
constructive,anger,1.3337529278357503e-05
consumption,anger,3.7396602041831216e-05
contagious,anger,2.3696468786377584e-05
contemplate,anger,4.23411097592127e-05
content,anger,7.10155469906556e-05
continually,anger,2.1583397363756865e-05
continue,anger,1.67176881942664e-05
contract,anger,0.0001973445135612565
contrast,anger,3.6539615807803144e-05
control,anger,1.7163534363682736e-05
conversation,anger,1.1528765837588513e-05
convince,anger,7.729290435768763e-05
cool,anger,2.773674672390674e-05
cop,anger,9.940714059091498e-06
cope,anger,4.461001039972992e-05
coping,anger,2.065721615017124e-05
core,anger,1.0566907464576904e-05
correctness,anger,3.896113168063883e-05
cosmically,anger,3.6979928031044377e-06
cough,anger,2.216160400083004e-05
could,anger,0.0004762884587048968
couldn,anger,9.001046614925554e-06
couldnt,anger,6.183017737173088e-05
counter,anger,0.000155610533147111
country,anger,4.044681118393811e-06
couple,anger,1.9256876628300722e-05
cousin,anger,7.200998519758392e-05
covetousnes,anger,4.9909597565608574e-05
covingtons,anger,5.753652406269843e-06
coworker,anger,1.987984482480147e-05
coz,anger,4.684826095988241e-06
crake,anger,3.032201778255143e-08
cranky,anger,0.02150150037486064
crap,anger,1.543283889745826e-05
craving,anger,7.245066754637928e-06
crawl,anger,1.472528070853534e-05
crazy,anger,3.579879296535709e-05
create,anger,3.3160723989545904e-06
creative,anger,8.061389927639478e-06
creativity,anger,6.2466712648557944e-06
creature,anger,2.0789914472208238e-05
cringe,anger,1.1735894513911687e-05
crossfit,anger,1.5306995174536923e-05
crowd,anger,2.0106865364086084e-05
crowded,anger,2.820023728894727e-05
crumble,anger,0.00017476091689854061
crunch,anger,9.680669079578765e-06
cry,anger,7.470864769942143e-05
cuddle,anger,2.3123246431290378e-05
curious,anger,0.00022731277189098084
current,anger,9.604007415270087e-06
currently,anger,1.0889072507057167e-05
curse,anger,1.2875488553111631e-05
cute,anger,1.9215020739742387e-05
cuz,anger,8.897097954548277e-05
dad,anger,1.70503121270787e-05
daily,anger,4.98655660547378e-06
damage,anger,8.174216880892556e-05
damn,anger,4.4307318807115264e-05
dancin,anger,5.60867851017493e-06
danger,anger,0.00024613003074808046
dangerous,anger,0.022026245282056277
dannika,anger,1.1313958806201077e-05
dare,anger,9.807693625495752e-06
darkness,anger,4.808996391900413e-05
darn,anger,4.3764978913031264e-06
dart,anger,5.555511465712593e-06
dash,anger,1.5319161710714962e-05
dashboard,anger,4.474700355895249e-06
dat,anger,7.142574610314909e-05
date,anger,3.227789840235947e-05
daunt,anger,4.927225872943037e-05
day,anger,0.00026573418637515153
daze,anger,6.220892755681998e-05
dead,anger,4.084477989825076e-05
deal,anger,3.4578557125024974e-05
dealt,anger,0.0001377620687495512
dear,anger,8.720831326815104e-05
death,anger,5.84504089957243e-06
decide,anger,5.703867683230614e-05
decluttering,anger,4.136510392888582e-06
decorate,anger,5.061553230627846e-05
decorative,anger,5.109237514025795e-05
deep,anger,4.428830410596697e-06
deeper,anger,4.306018308326992e-05
deeply,anger,2.7257454019127e-05
defeat,anger,6.172002773231402e-06
defective,anger,1.9830530641282645e-05
definitely,anger,5.610687941528267e-05
degree,anger,4.5444280706263915e-06
delay,anger,2.7832528264159257e-06
deliberate,anger,9.365614854867095e-06
delicate,anger,3.1998357420507645e-06
delightful,anger,8.722614771457405e-06
demon,anger,8.606865458800735e-05
dennis,anger,1.0994828005243117e-05
dentist,anger,1.6802856194002686e-05
deny,anger,7.141168932564665e-06
deprecation,anger,7.040015197290985e-06
depress,anger,4.7340057160693304e-05
depressed,anger,0.0001990035108335835
deprive,anger,2.867128067561286e-05
derange,anger,5.576537263438882e-06
describe,anger,6.674636116641242e-05
description,anger,0.0004947910972865604
deserve,anger,3.433458323790732e-05
designer,anger,6.205142184998914e-05
desire,anger,6.072897017756069e-05
desk,anger,4.712005058347057e-05
despair,anger,1.9536136357111506e-05
desperate,anger,3.187476526383976e-05
desperately,anger,2.635904347912571e-05
despise,anger,0.002266496508375908
despised,anger,0.0007259631754764601
despite,anger,1.4932954749467622e-05
despondent,anger,0.00010575827039094829
destroy,anger,9.540064380349636e-05
detail,anger,2.1833166715357583e-05
detailed,anger,5.534473926851892e-06
determine,anger,9.55739939323247e-05
detest,anger,9.300311006827785e-05
detour,anger,4.3675306158919e-05
devastate,anger,5.04785991454606e-05
devote,anger,8.766981049504227e-05
dharavi,anger,1.458034360104076e-05
diary,anger,1.8643857687115438e-06
dickinson,anger,5.5313276670226e-06
didn,anger,2.0609769959085258e-05
didnt,anger,0.00014406001611559893
die,anger,8.852379303388892e-05
difference,anger,3.429130705369085e-05
difficult,anger,1.2402888791707528e-05
digest,anger,2.680030730125169e-05
dipshit,anger,4.840400327056067e-06
director,anger,2.117910226733126e-05
dirty,anger,0.00011066564402190209
disadvantage,anger,2.378809790584335e-05
disagreement,anger,0.0001754667310715531
disappoint,anger,4.871027651736569e-05
disappointed,anger,8.538419852761478e-05
disband,anger,2.4671118004539203e-05
disclaimer,anger,5.9492261870318025e-05
discontent,anger,0.0001795120194184548
discover,anger,0.00023430316211481902
discussion,anger,0.0001993889879125751
disgust,anger,0.013880016825535314
disgusted,anger,0.0037826738477761204
dishearten,anger,5.435577866858253e-05
disillusion,anger,4.46013704570594e-06
disillusioned,anger,0.00012082340988158534
disinterested,anger,5.686059805173386e-06
dismiss,anger,5.6224682053495194e-05
display,anger,5.079581053345223e-06
displease,anger,3.7598379707960605e-05
disregard,anger,7.602235316660089e-06
dissatisfied,anger,0.011152912720503116
dissatisfy,anger,0.013194074878566794
distort,anger,5.505127508386942e-06
distract,anger,0.015926232667588875
distracted,anger,0.0027545828877446224
disturb,anger,0.0002543535456060792
disturbing,anger,5.200558158366621e-06
division,anger,0.00020206781088127047
dizzy,anger,6.201489793689285e-06
do,anger,0.0016972508408713395
doc,anger,1.3923309937183362e-05
doctor,anger,1.480350981177138e-05
doesn,anger,2.1375825294618243e-05
doesnt,anger,0.00011555138036970288
doll,anger,3.8125690156777666e-05
dollar,anger,8.659877767488141e-05
don,anger,0.0006176338535151977
dont,anger,0.00028124980564132824
dontknow,anger,2.73656735413804e-05
door,anger,3.796263302238182e-05
dorky,anger,1.225945058462023e-05
doubt,anger,2.104364647162857e-05
doubtful,anger,4.421431833499915e-05
down,anger,0.00021689272148050598
downer,anger,2.81831963368902e-05
dpt,anger,4.218000920130113e-05
dragon,anger,0.00012194056659545163
drain,anger,5.385148017407636e-05
dramatic,anger,1.8396301035231559e-06
draw,anger,1.090955412372924e-06
drawn,anger,2.449283668044764e-05
dream,anger,3.3812760034433414e-05
dribbling,anger,8.717945388545476e-05
drink,anger,4.8180047078516835e-05
drinkin,anger,5.590311101162318e-06
drive,anger,3.664768345726298e-06
driver,anger,8.080479909410059e-06
drop,anger,1.6486444333723536e-05
drown,anger,2.585852293559114e-05
drunk,anger,5.4985711375427245e-06
duet,anger,1.1233055277614435e-05
duh,anger,1.004208111270924e-05
dull,anger,6.412966227154378e-05
dumb,anger,3.8022262204637075e-05
dun,anger,5.525966156498769e-06
duration,anger,8.588085911491378e-06
during,anger,0.00016677064925068433
dwell,anger,5.991779059720206e-05
dwelling,anger,1.8439590842592856e-05
each,anger,6.272322344769833e-05
eager,anger,5.9249123214949055e-05
early,anger,2.153286613038904e-05
easier,anger,1.6023232606883725e-05
easily,anger,0.00013978306241231475
easy,anger,3.493819983961351e-05
eat,anger,0.00014765595129218533
eating,anger,9.123911141682026e-06
ebay,anger,1.3699739402156484e-06
echo,anger,2.8954516554161666e-05
edge,anger,2.4985547358314657e-05
edit,anger,3.0925531752761343e-05
edochie,anger,1.2017196166173077e-07
effect,anger,3.5010817896980596e-05
effort,anger,1.0311193371162946e-05
egypt,anger,3.21877871149081e-05
either,anger,4.5924528533952684e-05
else,anger,5.447799314861303e-05
elses,anger,1.1482067539092687e-05
embarassing,anger,2.170856182811879e-05
embarrass,anger,6.981204690562157e-06
embarrassed,anger,2.5488957897376315e-05
emo,anger,1.781425477014268e-05
emotion,anger,0.00012726688239751675
emotional,anger,0.00021535901657645284
emotionally,anger,3.35665930554755e-05
employer,anger,3.856923187783045e-05
empower,anger,1.5994008627593587e-05
empty,anger,0.00010156112733897129
encourage,anger,1.0921073693661997e-06
encourages,anger,7.306045773386802e-05
end,anger,2.2725450634619867e-05
energetically,anger,1.2649533634926785e-05
energy,anger,5.735845341205079e-05
england,anger,1.0756348440914119e-05
enjambment,anger,5.450124400765142e-06
enjoy,anger,4.30626713124211e-06
enough,anger,0.0003190393314487816
enrage,anger,0.0025388473218456798
enraged,anger,0.0017371175083606754
enter,anger,5.137837709705333e-06
enthusiast,anger,0.00011193404675289857
entire,anger,1.3560095882237265e-05
entirely,anger,6.58805228214866e-05
entrance,anger,2.7653428311346376e-05
entrenchedly,anger,9.151360218249564e-06
envelope,anger,1.1390491909191533e-05
envious,anger,0.016172367118406146
environment,anger,4.010664093920036e-05
envy,anger,4.846516798124872e-05
epileptic,anger,0.00012594201651000856
equally,anger,6.704772284075122e-06
eschew,anger,6.509412499091703e-05
esp,anger,4.53764696005668e-05
especially,anger,2.7449642397539956e-05
establish,anger,1.242981407233412e-05
esteem,anger,5.715544429746551e-05
etape,anger,1.0776468529327782e-05
etc,anger,2.4376417424210857e-05
ethiopia,anger,0.00029621573304914456
even,anger,0.0007549876917709161
evening,anger,2.7335153881437556e-06
event,anger,1.0142121135280484e-05
ever,anger,0.00014776253019455456
every,anger,6.999392452913724e-05
everybody,anger,0.00016573735705750046
everyday,anger,2.0197752351525887e-05
everyfuckingthing,anger,3.605513818461141e-06
everyone,anger,5.237121210061764e-05
everything,anger,0.0001032614627769938
everytime,anger,5.3251096364703894e-06
everywhere,anger,6.968884722936098e-05
ewan,anger,7.982700079101739e-05
exact,anger,9.817309908787856e-06
exactly,anger,2.0825021086714177e-05
exaggerate,anger,5.5777579103754315e-06
exaggerated,anger,7.040374650978914e-06
example,anger,4.562289784172285e-06
exboyfriend,anger,0.00010627483303525848
exceedingly,anger,1.1193775587722853e-05
excellent,anger,1.51367593739543e-05
except,anger,4.74525826315896e-06
excite,anger,0.00021409527754203024
exclusively,anger,4.18363746922408e-05
execute,anger,1.3695611967534977e-06
exercise,anger,5.331932695264909e-05
exhale,anger,9.559594057101213e-06
exhaust,anger,2.474937822816789e-05
exhibitionism,anger,8.832290858970746e-06
exhilarate,anger,7.174639529059964e-06
exist,anger,2.150298670323526e-05
expect,anger,6.702376579066046e-05
experience,anger,9.307346671665925e-05
explain,anger,2.2260561469940037e-05
expose,anger,1.6036663670637788e-05
expression,anger,8.760715865842088e-06
extent,anger,3.9966704421507714e-05
extra,anger,4.795520171306522e-05
extremely,anger,0.00015805620619705396
eye,anger,9.239535915488928e-06
eyebrow,anger,1.2321694280890989e-05
face,anger,9.675684465637262e-05
facebook,anger,8.395262914636476e-06
fact,anger,0.00010617601859556413
factory,anger,8.765386621028814e-05
faithful,anger,2.1858773347440837e-05
fake,anger,9.252220786620781e-06
fall,anger,2.1856337074692877e-05
false,anger,6.352123475366501e-05
falter,anger,5.071540624220712e-05
family,anger,3.06510188182158e-05
fancy,anger,1.2856530188832868e-05
fandom,anger,5.245776552217494e-06
fanfictions,anger,1.0768273695392497e-05
fangirls,anger,1.0397511405705737e-05
fantastic,anger,9.123417729095801e-05
far,anger,1.3653254329807506e-07
fast,anger,5.16045668986706e-05
fat,anger,5.271078502563201e-05
father,anger,0.0001219407158601274
fault,anger,2.5611816213520545e-05
favor,anger,2.3819069250055143e-05
favourite,anger,4.4216485087613365e-08
fear,anger,1.2709259292854606e-05
fearful,anger,4.056082839451168e-05
feature,anger,2.1216063717270502e-05
feed,anger,4.819919783943258e-05
feel,anger,0.005979118829593543
feeling,anger,0.0033634144548314515
fell,anger,3.9348038660858615e-06
fellowship,anger,2.129811414382508e-05
felt,anger,0.00036221428108345845
ferocious,anger,0.0012009569744059008
fertility,anger,1.1217334627541235e-05
festive,anger,2.818015247121035e-05
feverish,anger,4.210067571485111e-05
few,anger,0.00012078747624116674
ffxi,anger,8.753641939877793e-06
fierce,anger,2.0546362452978376e-05
fifteen,anger,1.2522740535607246e-05
fight,anger,0.00026898954787336584
figure,anger,6.371020397900266e-05
fil,anger,1.0006212620526939e-05
fill,anger,0.00011342130992429445
film,anger,3.54984281842185e-05
final,anger,3.5621662946021916e-06
finally,anger,1.1779368143057104e-05
financial,anger,4.87332917788026e-06
financially,anger,8.44482936263784e-06
find,anger,0.00022025776968493605
fine,anger,1.529790857391962e-05
finger,anger,8.648064394732391e-06
finish,anger,2.7101993579915988e-05
finland,anger,2.106771660991842e-05
firey,anger,9.951056090742316e-06
firmly,anger,7.18150562489898e-05
first,anger,0.00017709128202802538
fit,anger,1.8776078126954282e-05
fix,anger,4.3825057794982783e-05
flat,anger,0.000109549717557728
flatmate,anger,0.0002092847356628613
flattered,anger,2.1808313278396197e-05
flawless,anger,8.763518056742477e-06
flickering,anger,5.553235490769037e-06
flirtiing,anger,4.973141285756874e-05
fluid,anger,7.659199735319085e-05
flush,anger,5.498346556953354e-06
focus,anger,8.076854862231744e-05
follow,anger,5.669978414238518e-05
following,anger,4.688111627935361e-06
fond,anger,1.6260746093207283e-05
font,anger,7.309671012890559e-06
food,anger,4.0715130099884234e-05
fool,anger,5.4718157824347334e-06
foolish,anger,0.00011769312524625313
foot,anger,5.94676280804976e-06
for,anger,0.0015754677350215377
foraging,anger,6.566254673837729e-05
forget,anger,2.4963199729443543e-05
forgive,anger,2.389896815096466e-05
forgotten,anger,8.373842795980214e-06
form,anger,0.00030805960809472357
format,anger,2.7233159838205644e-05
former,anger,1.0842399262004653e-06
forth,anger,3.4122440609519836e-06
four,anger,2.4978265594041006e-05
frankly,anger,1.0549942367193267e-05
frantic,anger,7.305717009188203e-05
free,anger,4.296071213557075e-06
freeze,anger,2.1591222286664722e-05
frequently,anger,0.00021629745308443513
friday,anger,3.165789924907734e-05
friend,anger,0.001056792356046464
friendly,anger,4.588465063268318e-05
