word,emotion,score
exboyfriend,anger,0.0005326418137401063
exercise,anger,0.0004908367023826592
factory,anger,0.0005334363567051244
feel,anger,0.0040354129395273166
feeling,anger,0.0015707533962440602
feelings,anger,0.0011076076083718926
feet,anger,0.0005259135109632389
felt,anger,0.0009922896433268644
ferocious,anger,0.0015903741914853936
fight,anger,0.00026785515793835684
fil,anger,0.0004336608439795242
first,anger,0.00079887071413025
flat,anger,0.0005328799901335409
flatmate,anger,0.0005335159087681938
flower,anger,0.0005347911657629158
fluffy,anger,0.0004470264843187525
for,anger,0.003289370105064946
form,anger,0.0005342326788299247
frankly,anger,0.0004685812204599079
frantic,anger,0.0008174198570400055
frequently,anger,0.0004753610860940331
friend,anger,0.0005713945954891552
friends,anger,0.000880298307581544
from,anger,0.0005066300155612529
frustrated,anger,0.013746210686973516
fucked,anger,0.022999915926016717
furious,anger,0.00626132577086429
get,anger,0.0013617351594730548
give,anger,0.0005245110749340033
going,anger,0.0005245110749340033
got,anger,0.0005271829573690123
grabbed,anger,0.0003438665263990405
greedy,anger,0.02355370737587488
greeted,anger,0.0005355105081566064
grouchy,anger,0.011141660456403007
group,anger,0.0007874237897948186
grumpy,anger,0.013377137749336158
had,anger,0.0018498864577484637
harmfully,anger,0.000534152966404213
hated,anger,0.013808996310651583
hateful,anger,0.011212385716021666
have,anger,0.0010256984799093412
haven,anger,0.0005024395730317161
heartless,anger,0.011176939174025128
heated,anger,0.0005332773059490649
helpless,anger,0.0005001404133223759
helps,anger,0.00048344826538020336
his,anger,0.001011731735449621
hostile,anger,0.014164919460954294
hot,anger,0.0005268526422328157
how,anger,0.0015615554816815046
href,anger,0.0004204932994430582
hypocrisy,anger,0.0005349508943166462
hypocritical,anger,0.0005351106944407008
identity,anger,0.0004768282499400026
if,anger,0.000495167798014618
im,anger,0.0023156524490392065
impatient,anger,0.016288462008970224
impolite,anger,0.001589666729656788
in,anger,0.001163134770094265
incredibly,anger,0.00037619891147863823
infuriated,anger,0.00211751403929321
inhuman,anger,0.0005322452077860645
initially,anger,0.000531690703216327
innocent,anger,0.0005252561190745348
insecure,anger,0.0005239566234805848
insincere,anger,0.0015889597397834314
inspiration,anger,0.00024758389900730936
instead,anger,0.0007822963475578171
insulted,anger,0.020649020546311292
intimate,anger,0.0005348710210955505
irate,anger,0.003168762700689728
irritable,anger,0.02576634565617802
irritated,anger,0.02080804056846802
is,anger,0.0034769822580833086
it,anger,0.000867629921968752
jealous,anger,0.01807954394667345
joyful,anger,0.0004827886030642528
junior,anger,0.0005312951588880732
junk,anger,0.0005078685304961619
just,anger,0.0005215308983718772
kept,anger,0.0005320074568025656
knew,anger,0.0004500254041296961
know,anger,0.0006959252389849285
lecture,anger,0.000533595478627913
left,anger,0.0004063877130170477
lent,anger,0.0005344719231975938
less,anger,0.0005247702207220133
let,anger,0.0013019888253231878
like,anger,0.0016530322901665705
likely,anger,0.0004883877226658218
lonely,anger,0.0010126931723638353
long,anger,0.00035762118745500196
mad,anger,0.015477973582471846
make,anger,0.0004603421668303755
manuscript,anger,0.0004975077677918217
martin,anger,0.0004876652556204573
me,anger,0.0005501864422384643
melancholy,anger,0.0006868597409850045
midterm,anger,0.0005315324324955894
misrepresented,anger,0.0005277796556795594
monthe,anger,0.000534631508737332
much,anger,0.0009691110182296404
my,anger,0.0021923566114563646
myself,anger,0.001096984044662286
necessary,anger,0.0005321659397532287
neglected,anger,0.0005320866894269293
nor,anger,0.0005250183390296842
